week	topic	name	meaning	example	notes
week 1	computers	Hardware	The physical components of a computer.	motherboard, cpu, gpu, ram, disks	
week 1	computers	Software	Instructions for computer to follow. The CPU executes these instructions.	binary machine code for the cpu	or a scripting language like javascript or python that is indirectly executed by an interpreter (browser or NodeJS in the case of javascript).
week 1	computers	firmware	Software embedded into hardware.	ROM-BIOS	Read Only Memory holding the Basic Input Output System for reading from drives or the keyboard or writing letters and numbers to the screen.
week 1	computers	OS	Operating System. The OS allows regular apps to access the hardware for IO.	MS-Windows, MacOS, Chrome OS, Linux	Manages Tasks, Organizes Disks into files and folders.
week 1	computers	Application	Software running on top of an operating system.	A word processor, a spreadsheet, or a game.	
week 1	computers	terminal	Emulates the screen and keyboard of a pre-PC era dumb-terminal or main-frame system console.	windows terminal, git-bash, vscode terminal panes.	
week 1	computers	shell	The program provided by the operating system we access with a terminal.	sh, bash, csh, xsh, powershell	
week 1	computers	file	A named file that contains plain text (ASCII/UTF8) like source code or non-text data like sounds, images or executables.	mysite/	
week 1	computers	directory	A named folder, the index to the contents of a folder, or a special folder (~ home, .. parent, . current)	mysite/	
week 1	command line	ls	List command shows files and directories in the current directory.	ls -la	Dash Options as in "ls -la" lists in the long-format, all-files.
week 1	command line	cd	The change directory (open folder) command in most shells.	cd mysite	
week 1	command line	.	The Current directory/folder.		
week 1	command line	..	The Parent directory of the current directory.		
week 1	command line	~	The Home directory/folder for the current user.		
week 1	command line	touch	Creates a file or updates the last modified timestamp on a file.	touch one.txt two.txt	
week 1	command line	mkdir directory_name	Make Directory (create a folder)	mkdir images styles scripts	creates three folders in this case
week 1	command line	echo hello	Command to print output to screen.		
week 1	command line	>	Redirect output. Creates or destroys target file anew.	echo hello > greeting.txt	create txt file with hello inside it
week 1	command line	>>	Redirect with append. Creates, or appends to the end of an existing file. Preserves the existing content.	echo world >> greeting.txt	add a second line to the file
week 1	command line	*	A wildcard matching any pattern.	ls *html	list only html files
week 1	command line	cat	Concatenate (chain to screen one letter at a time).	cat greeting.txt	Show/dump the whole file's content.
week 1	command line	mv	Move a file/folder to a different directory and/or rename a file/directory.	mv *txt text or mv about.html aboutus.html	mv all txt files to the text directory or rename file from about to aboutus.
week 1	command line	rm	Remove File	rm aboutus.html or rm -rf dir_name	deletes aboutus.html or remove recursive forced (even if empty) a whole directory including its files and inner child folders.
week 1	command line	rmdir	Remove Directory (delete a folder)	rmdir text	remove if empty
week 1	command line	cp	Copy.  Leaves the original intact (like a copy and paste).	cp index.html about.html	create new about.html based on existing index.html\
week 1	command line	pwd	Print Working Directory. Outputs the full folder path to your current directory.	pwd	
week 1	learn to code	editor	A text editor for editing plain text files (ASCII, UTF-8, UNICODE).	notepad, vi	
week 1	learn to code	IDE	Integrated Development Environment.	e.g. VSCode, PyCharm, IntelliJ	Includes a text editor and many extra tools for developing software. e.g. file system explorer, and a terminal, and source code control.
